Age,Gender,Marital_Status,Attrition,Attrition_Flag,Business_Travel,Department,Education_Level,Education_Field,Daily_Rate,Hourly_Rate,Monthly_Income,Monthly_Rate,Percent_Salary_Hike,Stock_Option_Level,Job_Role,Job_Level,Job_Involvement,Overtime,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Total_Working_Years,Num_Companies_Worked,Training_Times_Last_Year,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Distance_From_Home,Age_Group,Income_Bracket,Tenure_Group
41,Female,Single,Yes,1,Travel_Rarely,Sales,College,"Life Sciences",1102,94,5993,19479,11,0,"Sales Executive",2,High,Yes,Medium,"Very High",Low,Bad,Excellent,8,8,0,6,4,0,5,1,"Mid Career","Mid Income",Experienced
49,Male,Married,No,0,Travel_Frequently,"Research & Development","Below College","Life Sciences",279,61,5130,24907,23,1,"Research Scientist",2,Medium,No,High,Medium,"Very High",Better,Outstanding,10,1,3,10,7,1,7,8,"Senior Employee","Mid Income",Experienced
37,Male,Single,Yes,1,Travel_Rarely,"Research & Development",College,Other,1373,92,2090,2396,15,0,"Laboratory Technician",1,Medium,Yes,"Very High",High,Medium,Better,Excellent,7,6,3,0,0,0,0,2,"Mid Career","Low Income","New Employee"
33,Female,Married,No,0,Travel_Frequently,"Research & Development",Master,"Life Sciences",1392,56,2909,23159,11,0,"Research Scientist",1,High,Yes,"Very High",High,High,Better,Excellent,8,1,3,8,7,3,0,3,"Early Career","Low Income",Experienced
27,Male,Married,No,0,Travel_Rarely,"Research & Development","Below College",Medical,591,40,3468,16632,12,1,"Laboratory Technician",1,High,No,Low,Medium,"Very High",Better,Excellent,6,9,3,2,2,2,2,2,"Early Career","Mid Income","New Employee"
32,Male,Single,No,0,Travel_Frequently,"Research & Development",College,"Life Sciences",1005,79,3068,11864,13,0,"Laboratory Technician",1,High,No,"Very High","Very High",High,Good,Excellent,8,0,2,7,7,3,6,2,"Early Career","Mid Income",Experienced
59,Female,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1324,81,2670,9964,20,3,"Laboratory Technician",1,"Very High",Yes,High,Low,Low,Good,Outstanding,12,4,3,1,0,0,0,3,"Senior Employee","Low Income","New Employee"
30,Male,Divorced,No,0,Travel_Rarely,"Research & Development","Below College","Life Sciences",1358,67,2693,13335,22,1,"Laboratory Technician",1,High,No,"Very High",High,Medium,Better,Outstanding,1,1,2,1,0,0,0,24,"Early Career","Low Income","New Employee"
38,Male,Single,No,0,Travel_Frequently,"Research & Development",Bachelor,"Life Sciences",216,44,9526,8787,21,0,"Manufacturing Director",3,Medium,No,"Very High",High,Medium,Better,Outstanding,10,0,2,9,7,1,8,23,"Mid Career","High Income",Experienced
36,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,1299,94,5237,16577,13,2,"Healthcare Representative",2,High,No,High,High,Medium,Good,Excellent,17,6,3,7,7,7,7,27,"Mid Career","Mid Income",Experienced
35,Male,Married,No,0,Travel_Rarely,"Research & Development",Bachelor,Medical,809,84,2426,16479,13,1,"Laboratory Technician",1,"Very High",No,Low,Medium,High,Better,Excellent,6,0,5,5,4,0,3,16,"Early Career","Low Income","Early Tenure"
29,Female,Single,No,0,Travel_Rarely,"Research & Development",College,"Life Sciences",153,49,4193,12682,12,0,"Laboratory Technician",2,Medium,Yes,"Very High",High,"Very High",Better,Excellent,10,0,3,9,5,0,8,15,"Early Career","Mid Income",Experienced
